,id,object_name,chain,object_type,address,number,latitude,longitude,district
0,151635,СМЕТАНА,нет,кафе,"город Москва, улица Егора Абакумова, дом 9",48,55.879005,37.714474,Ярославский
1,77874,Родник,нет,кафе,"город Москва, улица Талалихина, дом 2/1, корпус 1",35,55.738307,37.673295,Таганский
2,24309,Кафе «Академия»,нет,кафе,"город Москва, Абельмановская улица, дом 6",95,55.735571,37.669576,Таганский
3,21894,ПИЦЦЕТОРИЯ,да,кафе,"город Москва, Абрамцевская улица, дом 1",40,55.892713,37.573007,Лианозово
4,119365,Кафе «Вишневая метель»,нет,кафе,"город Москва, Абрамцевская улица, дом 9, корпус 1",50,55.904074,37.572279,Лианозово
5,27429,СТОЛ. ПРИ ГОУ СОШ № 1051,нет,столовая,"город Москва, Абрамцевская улица, дом 15, корпус 1",240,55.906744,37.571525,Лианозово
6,148815,Брусника,да,кафе,"город Москва, переулок Сивцев Вражек, дом 6/2",10,55.747388,37.598043,Арбат
7,20957,Буфет МТУСИ,нет,столовая,"город Москва, Авиамоторная улица, дом 8, строение 1",90,55.754882,37.715471,Лефортово
8,20958,КПФ СЕМЬЯ-1,нет,столовая,"город Москва, Авиамоторная улица, дом 8, строение 1",150,55.754882,37.715471,Лефортово
9,28858,Столовая МТУСИ,нет,столовая,"город Москва, Авиамоторная улица, дом 8, строение 1",120,55.754882,37.715471,Лефортово
10,148595,Пекарня 24,нет,закусочная,"город Москва, Авиамоторная улица, дом 47",5,55.750211,37.718489,Лефортово
11,23394,Гогиели,нет,кафе,"город Москва, Авиамоторная улица, дом 49/1",24,55.748468,37.719702,Лефортово
12,28582,ШКОЛА 735,нет,столовая,"город Москва, Авиамоторная улица, дом 51",140,55.746304,37.720986,Лефортово
13,22579,Алло Пицца,да,кафе,"город Москва, улица Авиаторов, дом 14",32,55.645334,37.398051,Солнцево
14,23670,Гимназия 1542,нет,столовая,"город Москва, улица Авиаторов, дом 16",270,55.645304,37.399399,Солнцево
15,23663,Школа 1011,нет,столовая,"город Москва, улица Авиаторов, дом 18",320,55.644689,37.400099,Солнцево
16,144107,Суши Wok,да,предприятие быстрого обслуживания,"город Москва, Азовская улица, дом 3",7,55.662334,37.605715,Зюзино
17,154654,Донер Кебаб,нет,предприятие быстрого обслуживания,"город Москва, Азовская улица, дом 4",2,55.660374,37.602049,Зюзино
18,58565,Тануки,да,ресторан,"город Москва, Большая Академическая улица, дом 65",160,55.840427,37.54736,Коптево
19,153644,Американская Лаборатория Десертов,нет,кафе,"город Москва, Филипповский переулок, дом 15/5",20,55.75058,37.598573,Арбат
20,21950,Кафе,нет,кафе,"город Москва, Алтайская улица, дом 33/7",30,55.820824,37.832952,Гольяново
21,84832,КАФЕ УЮТ,нет,кафе,"город Москва, Алтуфьевское шоссе, дом 14",110,55.85578,37.58588,Отрадное
22,26931,Долина Чайхона,нет,кафе,"город Москва, Алтуфьевское шоссе, дом 14",150,55.85578,37.58588,Отрадное
23,28751,ГБОУ Школа № 1411 (970),нет,столовая,"город Москва, Алтуфьевское шоссе, дом 42Б",120,55.872764,37.589042,Отрадное
24,125608,Кафетерий,нет,кафетерий,"город Москва, Алтуфьевское шоссе, дом 56",6,55.880778,37.587865,Алтуфьевский
25,81554,Домино'с Пицца,да,кафе,"город Москва, Алтуфьевское шоссе, дом 56",24,55.880778,37.587865,Алтуфьевский
26,21304,РАХИМКУЛОВА Т.Х.,нет,буфет,"город Москва, Алтуфьевское шоссе, дом 102Б",20,55.903973,37.591297,Бибирево
27,29223,СТОЛОВАЯ ПРИ ГУП ОБЪЕДИНЕННЫЙ КОМБИНАТ ШКОЛЬНОГО ПИТАНИЯ,нет,столовая,"город Москва, улица Амундсена, дом 10",192,55.853001,37.657206,Свиблово
28,27439,ШКОЛА 1444,нет,столовая,"город Москва, Анадырский проезд, дом 55",240,55.878187,37.705086,Лосиноостровский
29,22767,Мархал,нет,кафе,"город Москва, Ангарская улица, дом 1, корпус 2",120,55.87189,37.509873,Западное Дегунино
30,24387,Готика,да,ресторан,"город Москва, Ангарская улица, дом 39",65,55.879263,37.524516,Дмитровский
31,29006,Гимназия № 1527,нет,столовая,"город Москва, проспект Андропова, дом 17, корпус 2",240,55.683229,37.66821,Нагатинский Затон
32,70791,Кафе «Хинкальная»,нет,кафе,"город Москва, проспект Андропова, дом 26",45,55.680828,37.662821,Нагатино-Садовники
33,69243,Суши Wok,да,кафе,"город Москва, проспект Андропова, дом 30",4,55.679138,37.662425,Нагатино-Садовники
34,25711,Рыба & мясо на углях,нет,кафе,"город Москва, проспект Андропова, дом 35А",45,55.673549,37.664788,Нагатинский Затон
35,21157,Кларом,нет,столовая,"город Москва, проспект Андропова, дом 38, корпус 2",24,55.674484,37.659605,Нагатино-Садовники
36,127979,Месопотамия,нет,ресторан,"город Москва, улица Арбат, дом 4, строение 1",50,55.752019,37.598348,Арбат
37,24968,Му-Му,да,кафе,"город Москва, улица Арбат, дом 4, строение 1",125,55.752019,37.598348,Арбат
38,127980,Хлеб насущный,да,кафе,"город Москва, улица Арбат, дом 6/2",20,55.751741,37.597522,Арбат
39,88194,TAJJ MAHAL,да,ресторан,"город Москва, улица Арбат, дом 6/2",100,55.751741,37.597522,Арбат
40,107496,Калифорния Дайнер,нет,кафе,"город Москва, улица Арбат, дом 23, строение 1",150,55.750423,37.595348,Арбат
41,110269,Балалаечная,нет,кафе,"город Москва, улица Арбат, дом 23, строение 1",49,55.750423,37.595348,Арбат
42,74969,Пиросмани,нет,кафе,"город Москва, улица Арбат, дом 25/36",63,55.750094,37.594764,Арбат
43,74970,ДАНКИН ДОНАТС,да,кафе,"город Москва, улица Арбат, дом 25/36",48,55.750094,37.594764,Арбат
44,74979,Вареничная №1,да,кафе,"город Москва, улица Арбат, дом 29",120,55.749871,37.59356,Арбат
45,21723,ШОКОЛАДНИЦА,да,кафе,"город Москва, улица Арбат, дом 29",40,55.749871,37.59356,Арбат
46,24967,IL Pizzaiolo,нет,ресторан,"город Москва, улица Арбат, дом 31",70,55.749689,37.592959,Арбат
47,24973,Теремок,да,кафе,"город Москва, улица Арбат, дом 32",22,55.749172,37.589617,Арбат
48,21720,Хлеб насущный,да,кафе,"город Москва, улица Арбат, дом 32",40,55.749172,37.589617,Арбат
49,140165,Мосбург,нет,кафе,"город Москва, улица Арбат, дом 36/2, строение 1",30,55.748848,37.588826,Арбат
50,127855,Эрик Рыжий,нет,ресторан,"город Москва, улица Арбат, дом 36/2, строение 1",30,55.748848,37.588826,Арбат
51,152754,Домашняя снедь,нет,кафе,"город Москва, улица Арбат, дом 36/2, строение 1",56,55.748848,37.588826,Арбат
52,76932,Хинкальная,да,кафе,"город Москва, улица Арбат, дом 36/2, строение 1",38,55.748848,37.588826,Арбат
53,21998,Му-Му,да,кафе,"город Москва, улица Арбат, дом 45/24",220,55.74829,37.588206,Арбат
54,27311,ВОСТОЧНЫЙ КВАРТАЛ,нет,ресторан,"город Москва, улица Арбат, дом 45/24",90,55.74829,37.588206,Арбат
55,24970,ПОЧТМЕЙСТЕР,нет,ресторан,"город Москва, улица Арбат, дом 47/23",30,55.748057,37.587533,Арбат
56,73570,БОСФОР,нет,ресторан,"город Москва, улица Арбат, дом 47/23",78,55.748057,37.587533,Арбат
57,20050,Мастер,нет,ресторан,"город Москва, улица Артамонова, дом 7",20,55.719095,37.459352,Фили-Давыдково
58,21687,Шантимель,да,кафе,"город Москва, Астраханский переулок, дом 1/15",20,55.777353,37.639869,Мещанский
59,21065,Буфет при Астраханских банях,нет,буфет,"город Москва, Астраханский переулок, дом 5/9",3,55.778861,37.639572,Мещанский
60,27395,Столовая при школе 2097,нет,столовая,"город Москва, Аэродромная улица, дом 9",240,55.84674,37.430139,Южное Тушино
61,21214,Столовая,нет,столовая,"город Москва, Бабаевская улица, дом 3",90,55.790595,37.689069,Сокольники
62,21483,БУФЕТ ШК.104,нет,буфет,"город Москва, улица Ивана Бабушкина, дом 15, корпус 1-2",80,55.68498,37.562236,Академический
63,23843,КАРЛ БАЛЕНГ,нет,кафе,"город Москва, улица Ивана Бабушкина, дом 17, корпус 1",46,55.684676,37.561257,Академический
